Aberdeen,ABZ
Alicante,ALC
Amsterdam,AMS
Athens,ATH
Barcelona,BCN
Belfast City,BHD,
Berlin Schonefeld,SXF
Berlin Tegel,TXL
Bilbao,BIO
Birmingham,BHX
Bologna,BLQ
Boston,BOS
Bristol,BRS
Brussels,BRU
Budapest,BUD
Calgary,YYC
Cantania/Sicily,CTA
Cardiff,CWL
Chicago/OHare,ORD
Copenhagen,CPH
Corfu,CFU
Cork,ORK
Doncaster Sheffield,DSA
Donegal,CFN
Dublin,DUB
Dubrovnik,DBV
Dusseldorf,DUS
East Midlands,EMA
Edinburgh,EDI
Faro Algarve,FAO
Frankfurt,FRA
Fuerteventura,FUE
Geneva,GVA
Glasgow,GLA
Gran Canaria,LPA
Hamburg,HAM
Ibiza,IBZ
Isle of Man,IOM
Izmir,ADB
Jersey UK,JER
Kerry,KIR
Knock-Irl West,NOC
Lanzarote,ACE
Leeds Bradford,LBA
Lisbon,LIS
London/Gatwick,LGW
London/Heathrow,LHR
Lyon,LYS
Madrid,MAD
Malaga,AGP
Manchester,MAN
Marseille,MRS
Milan/Linate,LIN
Milan/Malpensa,MXP
Munich,MUC
Nantes,NTE
Naples,NAP
New York,JFK
Newcastle,NCL
Newquay,NQY
Nice,NCE
Orlando,MCO
Ottawa ON,YOW
Palma Majorce,PMI
Paris,CDG
Perpignan,PGF
Prague,PRG
Pula,PUY
Rennes,RNS
Rome/Da Vinci,FCO
San Francisco,SFO
Santiago de Compostela,SCQ
Shannon,SNN
Stuttgart,STR
Tenerife,TFS
Toronto,YYZ
Toulouse,TLS
Vancouver,YVR
Venice,VCE
Verona,VRN
Vienna,VIE
Warsaw,WAW
Washington Dulles,IAD
Zurich,ZRH
