EI507,BOD,DUB,1550,1645,-T-----,15/12/2015,05/01/2016
EI508,DUB,BOD,1710,2005,-----S-,15/12/2015,05/01/2016
EI840,ORK,AMS,0600,0845,MTWTFSS,29/03/2015,24/12/2015
EI841,AMS,ORK,0925,1010,MTWTFSS,29/03/2015,24/12/2015
EI844,ORK,AMS,1710,1955,MTWTF-S,29/03/2015,24/12/2015
EI845,AMS,ORK,2040,2125,MTWTF-S,29/03/2015,24/12/2015
EI856,ORK,ALC,1835,2215,M---F--,01/05/2015,25/10/2015
EI857,ALC,ORK,2255,0040,M---F--,01/05/2015,25/10/2015
EI3242,DUB,ABZ,1335,1510,-TWTF-S,29/03/2015,24/10/2015
EI3243,ABZ,DUB,1535,1705,-TWTF-S,29/03/2015,24/10/2015
